1,12004_full_dialog.pkl,SARA, ack,,greeting,SD, USER, greeting,QESD
1,12004_full_dialog.pkl,SARA, ack,SD,introduce,QESD, USER, affirm,SD
1,12004_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,SD
1,12004_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,12004_full_dialog.pkl,SARA, ack,SD,request,PR, USER, negate,HE
1,12004_full_dialog.pkl,SARA, ack,SD,request,PR, USER, negate,HE
1,12004_full_dialog.pkl,SARA, ack,SD,request,PR, USER, negate,HE
1,12004_full_dialog.pkl,SARA, ack,SD,inform,VSN, USER, affirm,HE
1,12004_full_dialog.pkl,SARA, ack,NONE,request,QESD, USER, affirm,PR
1,12004_full_dialog.pkl,SARA, ack,PR,inform,VSN, USER, affirm,HE
1,12004_full_dialog.pkl,SARA, ack,NONE,request,QESD, USER, negate,HE
1,12004_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,PR
1,12004_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
