1,1517_full_dialog.pkl,SARA, ack,,greeting,QESD, USER, greeting,SD
1,1517_full_dialog.pkl,SARA, ack,,introduce,QESD, USER, affirm,NONE
1,1517_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,1517_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,1517_full_dialog.pkl,SARA, ack,SD,request,PR, USER, negate,SD
1,1517_full_dialog.pkl,SARA, ack,NONE,request,PR, USER, negate,SD
1,1517_full_dialog.pkl,SARA, ack,NONE,request,PR, USER, negate,SD
1,1517_full_dialog.pkl,SARA, ack,VSN,inform,PR, USER, inform,NONE
1,1517_full_dialog.pkl,SARA, ack,,inform,SD, USER, affirm,NONE
1,1517_full_dialog.pkl,SARA, ack,VSN,request,PR, USER, negate,NONE
1,1517_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,NONE
1,1517_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
