1,36683_full_dialog.pkl,SARA, ack,,greeting,SD, USER, greeting,NONE
1,36683_full_dialog.pkl,SARA, ack,,introduce,SD, USER, affirm,NONE
1,36683_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,36683_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,SD
1,36683_full_dialog.pkl,SARA, ack,SD,request,PR, USER, negate,SD
1,36683_full_dialog.pkl,SARA, ack,NONE,request,PR, USER, inform,SD
1,36683_full_dialog.pkl,SARA, ack,PR,request,SD, USER, negate,SD
1,36683_full_dialog.pkl,SARA, ack,VSN,inform,PR, USER, affirm,NONE
1,36683_full_dialog.pkl,SARA, ack,SD,request,VSN, USER, negate,NONE
1,36683_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,NONE
1,36683_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
