1,38520_full_dialog.pkl,SARA, ack,,greeting,NONE, USER, greeting,NONE
1,38520_full_dialog.pkl,SARA, ack,,introduce,NONE, USER, affirm,NONE
1,38520_full_dialog.pkl,SARA, ack,,request,QESD, USER, inform,SD
1,38520_full_dialog.pkl,SARA, ack,,request,QESD, USER, inform,SD
1,38520_full_dialog.pkl,SARA, ack,,request,QESD, USER, negate,SD
1,38520_full_dialog.pkl,SARA, ack,,request,QESD, USER, negate,SD
1,38520_full_dialog.pkl,SARA, ack,,request,QESD, USER, inform,SD
1,38520_full_dialog.pkl,SARA, ack,,inform,QESD, USER, affirm,NONE
1,38520_full_dialog.pkl,SARA, ack,,request,NONE, USER, affirm,NONE
1,38520_full_dialog.pkl,SARA, ack,,inform,QESD, USER, affirm,NONE
1,38520_full_dialog.pkl,SARA, ack,,request,NONE, USER, negate,NONE
1,38520_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,NONE
1,38520_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
