1,422_full_dialog.pkl,SARA, ack,,greeting,PR, USER, greeting,NONE
1,422_full_dialog.pkl,SARA, ack,,introduce,QESD, USER, inform,NONE
1,422_full_dialog.pkl,SARA, ack,NONE,request,SD, USER, inform,SD
1,422_full_dialog.pkl,SARA, ack,SD,request,PR, USER, inform,SD
1,422_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,422_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,422_full_dialog.pkl,SARA, ack,SD,inform,VSN, USER, inform,NONE
1,422_full_dialog.pkl,SARA, ack,,inform,VSN, USER, affirm,NONE
1,422_full_dialog.pkl,SARA, ack,SD,request,QESD, USER, negate,NONE
1,422_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,NONE
1,422_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
