1,4458_full_dialog.pkl,SARA, ack,,greeting,PR, USER, greeting,PR
1,4458_full_dialog.pkl,SARA, ack,NONE,introduce,QESD, USER, inform,NONE
1,4458_full_dialog.pkl,SARA, ack,NONE,request,SD, USER, inform,SD
1,4458_full_dialog.pkl,SARA, ack,PR,request,SD, USER, inform,SD
1,4458_full_dialog.pkl,SARA, ack,PR,request,SD, USER, negate,HE
1,4458_full_dialog.pkl,SARA, ack,SD,request,PR, USER, negate,HE
1,4458_full_dialog.pkl,SARA, ack,SD,inform,VSN, USER, request,HE
1,4458_full_dialog.pkl,SARA, ack,,inform,NONE, USER, affirm,PR
1,4458_full_dialog.pkl,SARA, ack,,inform,VSN, USER, negate,HE
1,4458_full_dialog.pkl,SARA, ack,NONE,request,PR, USER, negate,HE
1,4458_full_dialog.pkl,SARA, ack,,request,NONE, USER, inform,HE
1,4458_full_dialog.pkl,SARA, ack,,bye,NONE, USER, bye,NONE
